#WAGON_DATA
wagonName,ROB
wagonMeshIndex,0
primaryMaterial,Jaune
secondaryMaterial,Prune
stationId,5
stationSplineId,0

#PATH_DATA
time,posX,posY,posZ,rotX,rotY,rotZ,rotW
0.01999999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.03999998,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.05999998,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.07999997,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.09999996,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.12,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.14,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.16,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.1799999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.1999999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.2199999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.2399999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.2599999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.2799999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.2999999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.3199999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.3399999,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.3599998,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.3799998,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.3999998,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.4199998,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.4399998,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.4599997,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.4799997,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.4999997,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
0.5199997,84.15852,0.5326383,-8.137377,0.001167267,0.4781613,0.00216116,0.8782686
