#WAGON_DATA
wagonName,ADRI
wagonMeshIndex,0
primaryMaterial,BleuClair
secondaryMaterial,Jaune
stationId,1
stationSplineId,5

#PATH_DATA
time,posX,posY,posZ,rotX,rotY,rotZ,rotW
0.01999999,-25.72679,2.065803,-38.95652,0.02549193,-0.9087719,0.00125727,-0.4165121
0.03999998,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.05999998,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.07999997,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.09999996,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.12,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.14,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.16,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.1799999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.1999999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.2199999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.2399999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.2599999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.2799999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.2999999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.3199999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.3399999,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.3599998,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.3799998,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.3999998,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.4199998,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.4399998,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.4599997,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.4799997,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.4999997,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.5199997,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.5399997,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.5599996,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.5799996,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.5999996,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.6199996,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.6399996,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.6599995,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.6799995,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.6999995,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.7199995,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.7399995,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.7599995,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.7799994,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.7999994,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.8199994,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.8399994,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.8599994,-25.72679,2.065803,-38.95651,0.02549194,-0.9087719,0.001257271,-0.416512
0.8799993,-25.72174,2.065932,-38.96086,0.02549384,-0.908765,0.001256823,-0.416527
0.8999993,-25.71162,2.06618,-38.96956,0.02549782,-0.908751,0.001256138,-0.4165572
0.9199993,-25.69645,2.066568,-38.98262,0.02550371,-0.9087301,0.001254886,-0.4166025
0.9399993,-25.67622,2.067074,-39.00002,0.02551169,-0.908702,0.001252979,-0.4166632
0.9599993,-25.65094,2.06771,-39.02177,0.02552177,-0.9086667,0.001250416,-0.4167396
0.9799992,-25.6206,2.068475,-39.04786,0.02553421,-0.9086239,0.001246691,-0.4168321
0.9999992,-25.58521,2.069369,-39.0783,0.02554898,-0.9085736,0.001241714,-0.416941
1.019999,-25.54477,2.070392,-39.11309,0.02556617,-0.9085153,0.001235187,-0.4170669
1.039999,-25.49928,2.071535,-39.15222,0.02558605,-0.9084489,0.001226753,-0.4172104
1.059999,-25.44874,2.072816,-39.1957,0.02560864,-0.9083741,0.001215994,-0.4173718
1.079999,-25.39314,2.074217,-39.24353,0.02563427,-0.9082904,0.001202524,-0.4175525
1.099999,-25.33228,2.075806,-39.29546,0.02577409,-0.9078507,0.001108497,-0.418499
1.119999,-25.26813,2.077495,-39.35001,0.02580885,-0.9077451,0.001080722,-0.418726
1.139999,-25.20397,2.079194,-39.40455,0.0258446,-0.9076375,0.001050651,-0.4189571
1.159999,-25.13672,2.080972,-39.46172,0.02588327,-0.9075228,0.001016587,-0.4192035
1.179999,-25.06946,2.08275,-39.51891,0.025923,-0.9074059,0.0009798704,-0.4194539
1.199999,-24.99909,2.084608,-39.57872,0.02596579,-0.9072814,0.0009389519,-0.4197205
1.219999,-24.92564,2.086555,-39.64118,0.02601196,-0.9071491,0.000893116,-0.4200038
1.239999,-24.85218,2.088492,-39.70363,0.02605959,-0.9070142,0.0008442997,-0.420292
